author_dim.author_key,author_dim.author_id,author_dim.author_name,author_dim.author_addr,author_dim.birthday,author_dim.status,author_dim.created_time,author_dim.updated_time,author_dim.last_mofidied,author_dim.content_type_key
1,0,,N/A,NULL,INA,2000-01-01 00:00:00.0,NULL,2017-03-21 09:39:50.0,0
3307,7244,Sarah MacLean,N/A,1970-01-01 00:00:00.0,ACT,2017-03-01 11:36:23.0,2017-03-01 11:36:23.0,2017-03-21 09:59:51.0,1
3308,7250,Caprice Crain,N/A,1970-01-01 00:00:00.0,ACT,2017-03-01 14:39:24.0,2017-03-01 14:39:24.0,2017-03-21 09:59:51.0,1
3309,7259,Diana Rowland,N/A,1970-01-01 00:00:00.0,ACT,2017-03-01 15:42:04.0,2017-03-01 15:42:40.0,2017-03-21 09:59:51.0,1
3310,3678,Nguyễn Ngọc Thuần,N/A,1970-01-01 00:00:00.0,ACT,2015-07-14 17:24:40.0,2017-03-02 13:57:39.0,2017-03-21 09:59:51.0,1
3311,7284,Hạnh Nguyên,N/A,1970-01-01 00:00:00.0,ACT,2017-03-02 16:20:42.0,2017-03-02 16:20:42.0,2017-03-21 09:59:51.0,1
3312,5035,Sarah Dessen,N/A,1970-01-01 00:00:00.0,ACT,2015-11-12 15:41:22.0,2017-03-06 08:54:54.0,2017-03-21 09:59:51.0,1
3313,7305,Nguyễn Đông Thức,N/A,1970-01-01 00:00:00.0,ACT,2017-03-08 14:30:15.0,2017-03-08 14:30:15.0,2017-03-21 09:59:51.0,1
3314,7313,Kendare Blake,N/A,1970-01-01 00:00:00.0,ACT,2017-03-08 15:28:27.0,2017-03-08 15:28:27.0,2017-03-21 09:59:51.0,1
3315,7322,Kanta Ibragimov,N/A,1970-01-01 00:00:00.0,ACT,2017-03-08 16:34:40.0,2017-03-08 16:37:43.0,2017-03-21 09:59:51.0,1
3316,7326,Jeff Lindsay,N/A,1970-01-01 00:00:00.0,ACT,2017-03-09 09:05:47.0,2017-03-09 09:05:47.0,2017-03-21 09:59:51.0,1
3317,7337,Nguyễn Đông Thức,N/A,1970-01-01 00:00:00.0,ACT,2017-03-10 15:18:47.0,2017-03-10 15:18:47.0,2017-03-21 09:59:51.0,1
