category_dim.category_key,category_dim.category_id,category_dim.category_name,category_dim.parent_key,category_dim.parent_id,category_dim.content_type_key,category_dim.ordering,category_dim.status,category_dim.created_time,category_dim.created_by,category_dim.updated_time,category_dim.updated_by,category_dim.cmc_id,category_dim.valid_from,category_dim.valid_to,category_dim.version,category_dim.current,category_dim.last_mofidied
154,279,Trùng sinh,114,195,1,0,ACT,2019-08-09 16:12:32.0,214,2022-05-24 08:53:12.0,214,279,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-22 03:06:50.0
155,280,Trả thù,114,195,1,0,ACT,2019-09-03 13:26:40.0,214,2022-05-24 08:53:12.0,214,280,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-22 03:06:50.0
156,282,Xuyên không,112,191,1,0,ACT,2019-09-03 13:30:56.0,214,2019-09-03 13:30:56.0,214,282,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
157,284,Thể loại Amine số 7,1,0,1,7,ACT,2022-06-03 16:21:55.0,214,2022-06-07 10:37:20.0,214,284,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-06-08 02:46:51.0
158,285,Khoa học kỹ thuật,115,197,1,0,ACT,2019-09-03 13:32:04.0,214,2019-09-03 13:32:04.0,214,285,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
159,286,Huyền ảo,112,191,1,0,ACT,2019-09-03 13:42:15.0,214,2019-09-03 13:42:15.0,214,286,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
160,289,Khoa học kỹ thuật,112,191,1,0,ACT,2019-09-03 13:51:14.0,214,2019-09-03 13:51:14.0,214,289,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
161,292,Huyền ảo,114,195,1,0,ACT,2019-09-03 13:51:34.0,214,2019-09-03 13:51:34.0,214,292,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
162,293,Điềm văn,114,195,1,0,ACT,2019-09-03 13:56:12.0,214,2021-07-22 17:55:29.0,214,293,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
163,294,Kinh dị,115,197,1,0,ACT,2019-09-03 14:02:40.0,214,2019-09-03 14:02:40.0,214,294,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
164,295,Dị giới,112,191,1,0,ACT,2019-09-03 14:11:21.0,214,2019-09-03 14:11:21.0,214,295,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
165,296,Võng du,114,195,1,0,ACT,2019-09-03 14:17:39.0,214,2019-09-03 14:17:39.0,214,296,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
