content_author_brid.content_id,content_author_brid.author_id,content_author_brid.content_type_key
7803,3663,1
7812,3663,1
7821,3663,1
7830,3663,1
7839,3663,1
7848,3663,1
7857,3663,1
7866,3663,1
7875,3663,1
7884,3663,1
7893,3663,1
10042,4546,1
10040,4544,1
9722,4540,1
10204,4634,1
10198,4630,1
10026,4538,1
2165,1029,1
2169,1034,1
2174,1043,1
10016,4528,1
2192,1047,1
10006,4524,1
14144,4518,1
9978,4512,1
2231,1067,1
9974,4508,1
2265,1080,1
2274,1083,1
2277,1087,1
9964,4500,1
10024,4536,1
14762,4522,1
2301,1104,1
9952,4494,1
15251,1113,1
10186,4622,1
15401,1119,1
10176,4614,1
10170,4612,1
9946,4486,1
2338,1126,1
9930,4478,1
9922,4476,1
2364,1138,1
9920,4474,1
2367,1140,1
2370,1146,1
9908,4468,1
9904,4464,1
10126,4592,1
9902,4462,1
9902,4460,1
10114,4586,1
9900,4456,1
13308,4582,1
13316,4582,1
9888,4450,1
10268,4574,1
15611,4570,1
7986,3699,1
10078,4568,1
10086,4566,1
10074,4564,1
10266,4564,1
10058,4554,1
10064,4554,1
10685,4552,1
8004,3705,1
8010,3711,1
14802,4336,1
8013,3714,1
9938,4334,1
10152,4334,1
11095,4332,1
11861,4330,1
8022,3723,1
8031,3723,1
8052,3726,1
9882,4444,1
8055,3729,1
8085,3729,1
14894,3729,1
14901,3729,1
14985,3729,1
9878,4438,1
10134,4430,1
10931,4318,1
9854,4422,1
8064,3732,1
1864,4410,1
10988,4410,1
14424,4312,1
8073,3741,1
9680,4304,1
14261,3747,1
605,218,1
11346,218,1
14211,218,1
10032,4408,1
10098,4408,1
9720,4298,1
13863,4298,1
9868,4404,1
10010,4398,1
14078,4392,1
9585,4290,1
8145,3750,1
12582,3750,1
13632,3750,1
8076,3753,1
14729,4278,1
9802,4386,1
10693,4236,1
9798,4382,1
10008,4322,1
9790,4376,1
8106,3771,1
9804,4370,1
9774,4364,1
10046,4221,1
8742,4173,1
8913,4062,1
8904,4059,1
8136,3786,1
8190,3798,1
8199,3801,1
14933,3807,1
8520,3909,1
9051,3906,1
9060,3906,1
9069,3906,1
9078,3906,1
9087,3906,1
9096,3906,1
9105,3906,1
9114,3906,1
9141,3906,1
9153,3906,1
9162,3906,1
9171,3906,1
9180,3906,1
9189,3906,1
9198,3906,1
9207,3906,1
9216,3906,1
9225,3906,1
9234,3906,1
10418,3906,1
15419,3906,1
15819,3894,1
15969,3894,1
8457,3891,1
10208,3888,1
8436,3885,1
8841,4026,1
8421,3879,1
8820,4008,1
8229,3816,1
8808,3999,1
8241,3819,1
8799,3993,1
11445,3822,1
8787,3990,1
8772,3987,1
8769,3984,1
8259,3831,1
8319,3837,1
8340,3840,1
8352,3840,1
13938,3840,1
8400,3861,1
8409,3864,1
8376,3852,1
8382,3855,1
8394,3858,1
8616,3915,1
8415,3873,1
8700,3951,1
8418,3876,1
8643,3921,1
11868,3921,1
14766,6696,1
8151,7,1
8160,7,1
8169,7,1
8178,7,1
8589,7,1
8598,7,1
8607,7,1
8712,7,1
8721,7,1
8997,7,1
9006,7,1
12527,7,1
1811,849,1
14781,6704,1
15206,6708,1
14798,6716,1
14816,6722,1
3597,21,1
15855,328,1
10054,331,1
1650,333,1
10677,41,1
11496,41,1
12546,41,1
8424,89,1
8559,89,1
6726,202,1
637,221,1
11263,221,1
6546,237,1
714,238,1
10708,238,1
15645,238,1
11247,240,1
842,273,1
10721,282,1
10777,282,1
10830,282,1
10849,282,1
13397,282,1
906,294,1
915,294,1
924,294,1
933,294,1
939,294,1
950,294,1
984,294,1
8511,345,1
8619,347,1
8640,347,1
1521,357,1
1073,367,1
1120,381,1
1162,394,1
1497,537,1
11688,537,1
1518,545,1
1519,548,1
1548,555,1
1593,573,1
3772,582,1
2328,601,1
1872,633,1
1880,633,1
1829,645,1
1851,645,1
2069,645,1
2254,645,1
2349,645,1
2539,645,1
3307,645,1
3807,645,1
5747,645,1
6519,645,1
6588,645,1
2001,685,1
2007,685,1
4224,685,1
6384,685,1
12569,685,1
14357,685,1
15201,685,1
1897,771,1
1692,789,1
7011,789,1
1720,793,1
2043,924,1
2078,948,1
2124,993,1
2154,1024,1
2237,1040,1
2180,1044,1
2257,1044,1
2199,1050,1
2263,1050,1
2216,1052,1
2222,1055,1
15161,1120,1
15141,1123,1
2392,1165,1
2409,1182,1
2417,1185,1
2439,1200,1
2442,1203,1
15278,1209,1
2518,1261,1
2571,1296,1
5958,2888,1
8391,2893,1
5781,2898,1
7089,3501,1
14828,6723,1
14832,6725,1
14850,6734,1
14861,6735,1
14885,6740,1
14892,6747,1
14910,6750,1
15981,6756,1
14945,6758,1
14955,6767,1
14963,6770,1
14969,6774,1
14978,6782,1
14981,6791,1
14993,6801,1
15008,6807,1
15017,6815,1
15042,6827,1
15045,6834,1
15045,5364,1
15050,6839,1
15065,6845,1
15080,6854,1
15090,6860,1
15098,6864,1
15122,6867,1
15174,6873,1
15183,6882,1
15209,6890,1
15218,6894,1
15234,6894,1
15242,6897,1
15287,6902,1
15299,6909,1
15302,6917,1
15311,6920,1
15320,6924,1
15329,6924,1
15362,6924,1
15449,6924,1
15455,6924,1
15333,6929,1
15342,6935,1
15347,5056,1
15351,6945,1
13466,5432,1
15371,6959,1
15375,6960,1
15381,6968,1
15387,6974,1
15393,6981,1
15404,6987,1
15410,6995,1
15422,6998,1
15432,7007,1
15465,7013,1
15570,7017,1
15660,7017,1
15695,7017,1
15483,7020,1
15492,7028,1
15497,7032,1
15507,7041,1
15513,7046,1
6015,3060,1
15527,7053,1
15536,7059,1
15545,7067,1
15551,7076,1
15561,7088,1
15558,7097,1
15563,7103,1
15578,7109,1
12167,5536,1
15587,7119,1
15606,7122,1
12274,7124,1
15614,7134,1
15620,7137,1
15650,7140,1
15636,7146,1
15644,7148,1
15674,7158,1
15681,7164,1
15702,7176,1
15710,7182,1
15735,7185,1
15893,7185,1
15719,7191,1
15810,7191,1
15905,7191,1
15728,7200,1
15786,7206,1
15746,7211,1
15753,7218,1
15699,7224,1
15894,7226,1
15773,7229,1
15780,7230,1
15783,7235,1
15794,7241,1
15804,7244,1
15836,7244,1
15821,7247,1
15845,7256,1
10984,5035,1
15872,7296,1
16103,7305,1
15942,7313,1
16002,7319,1
15962,7323,1
15987,7332,1
15996,7338,1
16037,5471,1
10591,4853,1
16031,4853,1
16112,7358,1
9976,4510,1
2251,1077,1
9970,4504,1
9968,4502,1
15237,1087,1
9958,4498,1
2290,1094,1
15093,4522,1
9954,4496,1
9950,4492,1
10182,4622,1
2332,1119,1
10178,4616,1
14117,4614,1
10172,4612,1
9940,4484,1
9932,4480,1
10150,4606,1
10136,4598,1
2391,1138,1
9924,4474,1
9912,4472,1
9910,4470,1
10130,4596,1
10128,4594,1
10120,4590,1
10116,4588,1
9898,4458,1
15462,4586,1
10106,4582,1
13310,4582,1
10104,4580,1
10090,4574,1
10080,4570,1
10188,4448,1
7989,3699,1
10076,4566,1
10670,4566,1
10220,4564,1
10072,4562,1
10060,4554,1
10056,4552,1
10689,4552,1
9718,4338,1
9716,4336,1
15000,4336,1
9872,4334,1
10004,4334,1
8016,3717,1
9710,4330,1
13866,4330,1
8025,3723,1
8040,3726,1
8058,3726,1
8043,3729,1
8061,3729,1
8091,3729,1
14895,3729,1
14904,3729,1
9882,4442,1
9874,4436,1
9860,4426,1
10934,4318,1
9850,4420,1
9844,4418,1
9836,4410,1
15356,4410,1
9690,4310,1
9682,4306,1
14664,4304,1
14514,3747,1
639,218,1
13770,218,1
9834,4408,1
10034,4408,1
10100,4408,1
9734,4298,1
9832,4406,1
9828,4402,1
9822,4394,1
9814,4390,1
9588,4290,1
8148,3750,1
13625,3750,1
14927,3750,1
14711,4278,1
9806,4388,1
9800,4384,1
15228,4236,1
8094,3765,1
8100,3768,1
9788,4374,1
9786,4372,1
8109,3774,1
8115,3777,1
10232,4221,1
9045,4152,1
8118,3780,1
8907,4059,1
8142,3795,1
8193,3798,1
8202,3804,1
8529,3912,1
8523,3909,1
9054,3906,1
9063,3906,1
9072,3906,1
9081,3906,1
9090,3906,1
9099,3906,1
9108,3906,1
9117,3906,1
9147,3906,1
9156,3906,1
9165,3906,1
9174,3906,1
9183,3906,1
9192,3906,1
9201,3906,1
9210,3906,1
9219,3906,1
9228,3906,1
10386,3906,1
10420,3906,1
8460,3894,1
15848,3894,1
8856,4041,1
8850,4035,1
10644,3888,1
8844,4029,1
8838,4023,1
8433,3879,1
8817,4005,1
8367,3816,1
8811,3999,1
8244,3819,1
8802,3993,1
8781,3990,1
8790,3990,1
8775,3987,1
8256,3828,1
8313,3837,1
8334,3840,1
8343,3840,1
8355,3840,1
13941,3840,1
8403,3861,1
8370,3846,1
11341,3852,1
8385,3855,1
8397,3858,1
8625,3915,1
8562,3873,1
8688,3939,1
8685,3936,1
8646,3921,1
11869,3921,1
14768,6698,1
8154,7,1
8163,7,1
8172,7,1
8181,7,1
8592,7,1
8601,7,1
8706,7,1
8715,7,1
8874,7,1
9000,7,1
9009,7,1
12528,7,1
14775,6701,1
14784,6707,1
14789,6711,1
14805,6717,1
1011,21,1
3599,21,1
15975,328,1
15657,331,1
3612,333,1
11472,41,1
12510,41,1
1014,15,1
8553,89,1
12537,89,1
614,211,1
709,221,1
697,237,1
699,238,1
831,238,1
11257,238,1
707,240,1
11364,240,1
11477,273,1
10731,282,1
10786,282,1
10842,282,1
11993,282,1
13416,282,1
909,294,1
918,294,1
927,294,1
936,294,1
940,294,1
961,294,1
8652,294,1
8514,345,1
8622,347,1
1048,357,1
1522,357,1
7962,367,1
10626,381,1
1163,394,1
10696,537,1
11691,537,1
9892,545,1
10288,548,1
1569,555,1
1605,582,1
1632,598,1
1638,621,1
1875,633,1
1727,645,1
1832,645,1
1861,645,1
2094,645,1
2313,645,1
2478,645,1
2641,645,1
3308,645,1
4008,645,1
6159,645,1
6561,645,1
6741,645,1
2002,685,1
2009,685,1
4564,685,1
10110,685,1
12572,685,1
14484,685,1
15255,685,1
1898,771,1
7005,789,1
10208,789,1
1790,819,1
2035,918,1
2088,957,1
2135,1008,1
2157,1024,1
2175,1044,1
2182,1044,1
2193,1050,1
2202,1050,1
2210,1052,1
2219,1053,1
2280,1089,1
15518,1120,1
2359,1135,1
15158,1167,1
4335,1184,1
2424,1191,1
14646,1200,1
15273,1203,1
2454,1212,1
2529,1267,1
2574,1296,1
5924,2893,1
5706,2898,1
5783,2898,1
7230,3501,1
14831,6723,1
14840,6728,1
10595,4855,1
14880,6737,1
14888,6743,1
14903,6747,1
14925,6753,1
15984,6756,1
14940,6759,1
14948,6762,1
14963,6771,1
14972,6777,1
14979,6785,1
14988,6794,1
14997,6803,1
15011,6809,1
15023,6816,1
15042,6830,1
15314,6834,1
15314,5364,1
15050,6840,1
15078,6848,1
15084,6857,1
15095,6861,1
15413,6864,1
15131,6870,1
15174,6876,1
15192,6885,1
15212,6891,1
15221,6894,1
15224,6896,1
15242,6899,1
15288,6905,1
15299,6912,1
15294,3633,1
15317,6921,1
15321,6924,1
15359,6924,1
15428,6924,1
15450,6924,1
15456,6924,1
15338,6930,1
15344,6936,1
15348,6939,1
15353,6947,1
15368,6953,1
10180,4618,1
15377,6963,1
15383,6969,1
15389,6977,1
15396,2884,1
15405,6990,1
15411,6996,1
15425,7001,1
15434,7010,1
15474,7016,1
15593,7017,1
15663,7017,1
15897,7017,1
15488,7025,1
15494,7029,1
15500,7038,1
15506,7043,1
15515,7047,1
15524,3060,1
15533,7056,1
15540,7062,1
15548,7070,1
15554,7079,1
15561,7094,1
15558,7098,1
15557,7106,1
15581,7112,1
15585,7118,1
15590,7119,1
15608,7122,1
15597,7128,1
15615,7136,1
15629,7140,1
15630,7143,1
15638,7149,1
15654,7151,1
15678,7160,1
