content_category_brid.content_id,content_category_brid.category_id,content_category_brid.content_type_key,content_category_brid.content_key,content_category_brid.category_key,content_category_brid.status,content_category_brid.updated_time,content_category_brid.last_mofidied
30315,79,1,13268,100,ACT,2021-03-09 16:06:59.0,2021-03-10 11:21:11.0
30315,147,1,13268,105,ACT,2021-03-09 16:06:59.0,2021-03-10 11:21:11.0
30315,150,1,13268,46,ACT,2021-03-09 16:06:59.0,2021-03-10 11:21:11.0
30321,61,1,13270,48,ACT,2021-03-10 07:42:39.0,2021-03-10 11:21:11.0
30321,73,1,13270,101,ACT,2021-03-10 07:42:39.0,2021-03-10 11:21:11.0
30324,100,1,13269,62,ACT,2021-03-10 07:42:46.0,2021-03-10 11:21:11.0
30324,141,1,13269,42,ACT,2021-03-10 07:42:46.0,2021-03-10 11:21:11.0
30312,79,1,13267,100,ACT,2021-03-10 07:54:18.0,2021-03-10 11:21:11.0
30312,147,1,13267,105,ACT,2021-03-10 07:54:18.0,2021-03-10 11:21:11.0
30312,153,1,13267,106,ACT,2021-03-10 07:54:18.0,2021-03-10 11:21:11.0
30325,309,1,13271,1,ACT,2021-03-10 13:35:19.0,2021-03-10 23:21:15.0
30325,310,1,13271,1,ACT,2021-03-10 13:35:19.0,2021-03-10 23:21:15.0
30330,61,1,13275,48,ACT,2021-03-10 16:03:20.0,2021-03-10 23:21:15.0
30330,73,1,13275,101,ACT,2021-03-10 16:03:20.0,2021-03-10 23:21:15.0
30327,61,1,13274,48,ACT,2021-03-10 16:03:27.0,2021-03-10 23:21:15.0
30327,73,1,13274,101,ACT,2021-03-10 16:03:27.0,2021-03-10 23:21:15.0
30333,61,1,13272,48,ACT,2021-03-10 16:03:48.0,2021-03-10 23:21:15.0
30333,73,1,13272,101,ACT,2021-03-10 16:03:48.0,2021-03-10 23:21:15.0
30336,61,1,13273,48,ACT,2021-03-10 16:03:59.0,2021-03-10 23:21:15.0
30336,73,1,13273,101,ACT,2021-03-10 16:03:59.0,2021-03-10 23:21:15.0
30339,61,1,13277,48,ACT,2021-03-10 16:04:09.0,2021-03-10 23:21:15.0
30339,73,1,13277,101,ACT,2021-03-10 16:04:09.0,2021-03-10 23:21:15.0
30342,61,1,13276,48,ACT,2021-03-10 16:04:21.0,2021-03-10 23:21:15.0
30342,73,1,13276,101,ACT,2021-03-10 16:04:21.0,2021-03-10 23:21:15.0
30352,35,1,13285,60,ACT,2021-03-11 08:25:23.0,2021-03-11 11:21:14.0
30352,89,1,13285,50,ACT,2021-03-11 08:25:23.0,2021-03-11 11:21:14.0
30352,93,1,13285,24,ACT,2021-03-11 08:25:23.0,2021-03-11 11:21:14.0
30354,35,1,13284,60,ACT,2021-03-11 08:25:37.0,2021-03-11 11:21:14.0
30354,95,1,13284,89,ACT,2021-03-11 08:25:37.0,2021-03-11 11:21:14.0
30343,309,1,13280,1,ACT,2021-03-11 08:29:11.0,2021-03-11 11:21:14.0
30343,310,1,13280,1,ACT,2021-03-11 08:29:11.0,2021-03-11 11:21:14.0
30346,43,1,13283,88,ACT,2021-03-11 08:29:14.0,2021-03-11 11:21:14.0
30346,71,1,13283,41,ACT,2021-03-11 08:29:14.0,2021-03-11 11:21:14.0
30349,79,1,13282,100,ACT,2021-03-11 08:29:17.0,2021-03-11 11:21:14.0
30349,147,1,13282,105,ACT,2021-03-11 08:29:17.0,2021-03-11 11:21:14.0
30357,41,1,13281,40,ACT,2021-03-11 08:29:44.0,2021-03-11 11:21:14.0
30357,71,1,13281,41,ACT,2021-03-11 08:29:44.0,2021-03-11 11:21:14.0
30360,79,1,13286,100,ACT,2021-03-12 07:42:26.0,2021-03-12 11:21:12.0
30360,147,1,13286,105,ACT,2021-03-12 07:42:26.0,2021-03-12 11:21:12.0
30363,309,1,13287,1,ACT,2021-03-12 08:17:15.0,2021-03-12 11:21:12.0
30366,309,1,13288,1,ACT,2021-03-12 08:17:20.0,2021-03-12 11:21:12.0
30385,79,1,13301,100,ACT,2021-03-13 15:57:30.0,2021-03-14 11:21:14.0
30385,146,1,13301,45,ACT,2021-03-13 15:57:30.0,2021-03-14 11:21:14.0
