content_publisher_brid.content_id,content_publisher_brid.publisher_id,content_publisher_brid.content_type_key
5825,95,1
5832,95,1
5836,95,1
5866,95,1
5874,95,1
5883,95,1
5888,95,1
5904,95,1
5910,95,1
5916,95,1
5976,95,1
6063,95,1
6114,95,1
6234,95,1
6285,95,1
6312,95,1
6336,95,1
6354,95,1
6528,95,1
6540,95,1
6573,95,1
6648,95,1
7452,95,1
7467,95,1
7476,95,1
7485,95,1
7599,95,1
7608,95,1
7623,95,1
7701,95,1
7710,95,1
7719,95,1
7728,95,1
7737,95,1
7746,95,1
7755,95,1
7764,95,1
7773,95,1
7794,95,1
7803,95,1
7812,95,1
7821,95,1
7830,95,1
7839,95,1
7848,95,1
7860,95,1
7869,95,1
7878,95,1
7932,95,1
7974,95,1
8091,95,1
8190,95,1
8211,95,1
8220,95,1
8229,95,1
8238,95,1
8247,95,1
8259,95,1
8268,95,1
8277,95,1
8286,95,1
8295,95,1
8304,95,1
8313,95,1
8322,95,1
8331,95,1
8340,95,1
8352,95,1
8361,95,1
8373,95,1
8385,95,1
8394,95,1
8403,95,1
8412,95,1
8421,95,1
8433,95,1
8472,95,1
8484,95,1
8493,95,1
8502,95,1
8514,95,1
8523,95,1
8532,95,1
8541,95,1
8550,95,1
8559,95,1
8568,95,1
8577,95,1
8586,95,1
8859,95,1
8889,95,1
8961,95,1
9075,95,1
9087,95,1
9105,95,1
9114,95,1
9141,95,1
9153,95,1
9162,95,1
9243,95,1
9372,95,1
9594,95,1
9603,95,1
9615,95,1
9648,95,1
9657,95,1
9666,95,1
10680,95,1
11811,95,1
11876,95,1
5952,28,1
12194,28,1
10927,100,1
10957,100,1
10969,100,1
11002,100,1
11008,100,1
11056,100,1
11074,100,1
11084,100,1
11095,100,1
11129,100,1
11293,100,1
11307,100,1
11701,100,1
12077,100,1
12103,100,1
11139,102,1
11148,102,1
11156,102,1
11223,102,1
12175,102,1
12184,102,1
12190,102,1
2192,106,1
6144,32,1
7680,34,1
2310,70,1
9990,6,1
9844,6,1
11287,36,1
11954,4,1
7335,32,1
8115,30,1
11262,8,1
10613,12,1
10092,8,1
6111,95,1
10382,8,1
646,8,1
650,8,1
11631,2,1
12005,6,1
407,2,1
550,2,1
966,2,1
1163,2,1
1572,2,1
1599,2,1
1616,2,1
1626,2,1
1643,2,1
1766,2,1
1855,2,1
1875,2,1
2048,2,1
2426,2,1
2562,2,1
3059,2,1
3310,2,1
3346,2,1
3729,2,1
3766,2,1
3770,2,1
3775,2,1
3780,2,1
3868,2,1
4289,2,1
4533,2,1
5731,2,1
5737,2,1
5744,2,1
5938,2,1
6120,2,1
6387,2,1
6756,2,1
6894,2,1
6903,2,1
7518,2,1
8643,2,1
8664,2,1
8673,2,1
8697,2,1
9042,2,1
9129,2,1
9716,2,1
9832,2,1
9884,2,1
9978,2,1
10082,2,1
10116,2,1
10196,2,1
10226,2,1
10444,2,1
11232,2,1
11471,2,1
11613,2,1
11634,2,1
11995,2,1
12230,2,1
12239,2,1
269,4,1
275,4,1
298,4,1
312,4,1
367,4,1
431,4,1
520,4,1
615,4,1
626,4,1
643,4,1
679,4,1
691,4,1
706,4,1
712,4,1
722,4,1
736,4,1
743,4,1
834,4,1
846,4,1
860,4,1
976,4,1
1023,4,1
1050,4,1
1485,4,1
1512,4,1
1521,4,1
1527,4,1
1533,4,1
1632,4,1
1644,4,1
1653,4,1
1676,4,1
1888,4,1
2091,4,1
2143,4,1
2199,4,1
2304,4,1
2400,4,1
2410,4,1
2524,4,1
3484,4,1
3530,4,1
3597,4,1
3620,4,1
3760,4,1
5964,4,1
6762,4,1
7944,4,1
8109,4,1
9774,4,1
9824,4,1
9854,4,1
9938,4,1
9976,4,1
10016,4,1
10070,4,1
10138,4,1
10150,4,1
10282,4,1
10678,4,1
10721,4,1
10728,4,1
10735,4,1
10778,4,1
10792,4,1
10976,4,1
11259,4,1
11337,4,1
11371,4,1
11377,4,1
11383,4,1
11391,4,1
11397,4,1
11433,4,1
11475,4,1
11935,4,1
11944,4,1
11956,4,1
11963,4,1
11971,4,1
11978,4,1
11987,4,1
11993,4,1
315,6,1
1384,6,1
1736,6,1
1748,6,1
1771,6,1
1784,6,1
1816,6,1
1824,6,1
1836,6,1
1861,6,1
1996,6,1
2015,6,1
2023,6,1
2031,6,1
2045,6,1
2057,6,1
2067,6,1
2078,6,1
2094,6,1
2109,6,1
2118,6,1
2124,6,1
2131,6,1
2136,6,1
2238,6,1
2247,6,1
2254,6,1
2274,6,1
2280,6,1
2287,6,1
2295,6,1
2301,6,1
2316,6,1
2332,6,1
2347,6,1
2356,6,1
2372,6,1
2381,6,1
2388,6,1
2392,6,1
2420,6,1
2473,6,1
2484,6,1
2505,6,1
2518,6,1
2533,6,1
2544,6,1
2551,6,1
2565,6,1
2589,6,1
2623,6,1
2638,6,1
2884,6,1
3085,6,1
3303,6,1
3308,6,1
3491,6,1
3814,6,1
3824,6,1
3870,6,1
4008,6,1
4021,6,1
4035,6,1
4209,6,1
4220,6,1
4226,6,1
4269,6,1
4276,6,1
4284,6,1
4299,6,1
4341,6,1
4350,6,1
4356,6,1
4362,6,1
4398,6,1
4410,6,1
4426,6,1
4430,6,1
4539,6,1
4552,6,1
4562,6,1
4570,6,1
4582,6,1
4600,6,1
4615,6,1
4643,6,1
4655,6,1
5698,6,1
5941,6,1
6021,6,1
6390,6,1
9694,6,1
9782,6,1
