content_publishing_house_brid.content_id,content_publishing_house_brid.publishing_house_id,content_publishing_house_brid.content_type_key,content_publishing_house_brid.status
30312,40,1,1
30312,762,1,1
30315,40,1,1
30315,387,1,1
30318,40,1,1
30318,401,1,1
30321,40,1,1
30321,59,1,1
30324,40,1,1
30324,59,1,1
30325,40,1,1
30325,622,1,1
30325,786,1,1
30327,40,1,1
30327,59,1,1
30330,40,1,1
30330,59,1,1
30333,40,1,1
30333,59,1,1
30336,40,1,1
30336,59,1,1
30339,40,1,1
30339,59,1,1
30342,40,1,1
30342,59,1,1
30343,40,1,1
30343,643,1,1
30343,646,1,1
30346,40,1,1
30346,175,1,1
30349,40,1,1
30349,501,1,1
30349,504,1,1
30352,40,1,1
30352,64,1,1
30354,14,1,1
30354,40,1,1
30357,40,1,1
30357,765,1,1
30357,768,1,1
30360,40,1,1
30360,579,1,1
30360,582,1,1
30363,40,1,1
30363,690,1,1
30363,691,1,1
30366,40,1,1
30366,604,1,1
30366,607,1,1
30367,40,1,1
30367,663,1,1
30370,40,1,1
30370,407,1,1
30373,40,1,1
30373,808,1,1
30373,811,1,1
30375,40,1,1
30375,472,1,1
30375,784,1,1
30378,40,1,1
30378,242,1,1
30378,777,1,1
30381,40,1,1
30381,802,1,1
30381,805,1,1
30384,40,1,1
30384,798,1,1
30384,801,1,1
30385,40,1,1
30385,780,1,1
30385,783,1,1
30388,40,1,1
30388,59,1,1
30391,40,1,1
30391,395,1,1
30394,40,1,1
30394,395,1,1
30397,40,1,1
30397,395,1,1
30399,40,1,1
30399,395,1,1
30400,40,1,1
30400,395,1,1
30403,40,1,1
30403,395,1,1
30405,40,1,1
30405,395,1,1
30408,40,1,1
30408,369,1,1
30411,40,1,1
30411,369,1,1
30414,40,1,1
30414,369,1,1
30417,40,1,1
30417,369,1,1
30420,40,1,1
30420,369,1,1
30421,40,1,1
30421,369,1,1
30423,40,1,1
30423,369,1,1
30426,40,1,1
30426,537,1,1
30429,40,1,1
30429,709,1,1
30429,711,1,1
30430,40,1,1
30430,417,1,1
30433,40,1,1
30433,789,1,1
30433,790,1,1
30436,40,1,1
30436,216,1,1
30436,230,1,1
30439,40,1,1
30439,624,1,1
30442,40,1,1
30442,59,1,1
30444,40,1,1
30444,59,1,1
30445,40,1,1
30445,387,1,1
30447,40,1,1
30447,401,1,1
30448,40,1,1
30448,808,1,1
30448,811,1,1
30450,14,1,1
30450,40,1,1
30453,40,1,1
30453,622,1,1
30453,786,1,1
30454,40,1,1
30454,604,1,1
30454,607,1,1
30456,14,1,1
30456,40,1,1
30457,14,1,1
30457,40,1,1
30460,14,1,1
30460,40,1,1
30462,14,1,1
30462,40,1,1
30463,14,1,1
30463,40,1,1
30465,14,1,1
30465,40,1,1
30468,14,1,1
30468,40,1,1
30471,40,1,1
30471,64,1,1
30474,40,1,1
30474,64,1,1
30475,40,1,1
30475,64,1,1
30477,40,1,1
30477,175,1,1
30478,40,1,1
30478,765,1,1
30478,768,1,1
30481,14,1,1
30481,40,1,1
30483,40,1,1
30483,643,1,1
30483,646,1,1
30484,40,1,1
30484,690,1,1
30484,691,1,1
30487,40,1,1
30487,59,1,1
30489,40,1,1
30489,579,1,1
30489,582,1,1
30490,14,1,1
30490,40,1,1
30493,14,1,1
30493,40,1,1
30495,40,1,1
30495,663,1,1
30498,40,1,1
30498,709,1,1
30498,711,1,1
30499,40,1,1
30499,407,1,1
30501,40,1,1
30501,472,1,1
30501,784,1,1
30502,40,1,1
30502,802,1,1
30502,805,1,1
30504,40,1,1
30504,798,1,1
30504,801,1,1
30507,40,1,1
30507,762,1,1
30510,40,1,1
30510,780,1,1
30510,783,1,1
30511,40,1,1
30511,537,1,1
30513,40,1,1
30513,395,1,1
30514,40,1,1
30514,395,1,1
30517,40,1,1
30517,395,1,1
30519,40,1,1
30519,395,1,1
30522,40,1,1
30522,395,1,1
30523,40,1,1
30523,395,1,1
30525,40,1,1
30525,395,1,1
30526,40,1,1
30526,369,1,1
30529,40,1,1
30529,369,1,1
30532,40,1,1
30532,369,1,1
30535,40,1,1
30535,369,1,1
30537,40,1,1
30537,369,1,1
30538,40,1,1
30538,369,1,1
30541,40,1,1
30541,369,1,1
30544,40,1,1
30544,417,1,1
30546,40,1,1
30546,59,1,1
30549,40,1,1
30549,59,1,1
