publisher_dim.publisher_key,publisher_dim.publisher_id,publisher_dim.publisher_name,publisher_dim.publisher_addr,publisher_dim.publisher_website,publisher_dim.ordering,publisher_dim.status,publisher_dim.created_time,publisher_dim.created_by,publisher_dim.updated_time,publisher_dim.updated_by,publisher_dim.cmc_id,publisher_dim.valid_from,publisher_dim.valid_to,publisher_dim.version,publisher_dim.current,publisher_dim.last_mofidied
1,0,N/A,N/A,N/A,0,N/A,2016-05-06 10:55:15.0,0,NULL,0,0,2014-01-01 00:00:00.0,2020-12-30 00:00:00.0,1,1,2016-06-03 15:20:03.0
2,6,NXB Lao Động Xã Hội,N/A,N/A,0,ACT,2015-09-17 16:29:38.0,1,2015-09-17 16:29:38.0,1,6,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:16.0
3,14,NXB Thế Giới,N/A,N/A,0,ACT,2015-09-18 09:43:29.0,1,2015-09-18 09:43:29.0,1,14,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:16.0
4,20,NXB Khoa Học Xã Hội,N/A,N/A,0,ACT,2015-09-18 15:40:57.0,1,2015-09-18 15:40:57.0,1,20,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:17.0
5,26,NXB Quân Đội Nhân Dân,N/A,N/A,0,ACT,2015-09-21 11:24:51.0,1,2015-09-21 11:24:51.0,1,26,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:17.0
6,34,Đang cập nhật,N/A,N/A,0,ACT,2015-09-24 03:57:50.0,1,2015-09-24 03:57:50.0,1,34,2000-01-01 00:00:00.0,2015-09-24 00:00:00.0,1,0,2016-06-13 09:47:17.0
7,40,NXB Phụ Nữ,N/A,N/A,0,ACT,2015-10-15 15:42:38.0,1,2015-10-15 15:42:38.0,1,40,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:17.0
8,45,NXB Hồng Đức,N/A,N/A,0,ACT,2015-10-23 15:08:45.0,1,2015-10-23 15:08:45.0,1,45,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:17.0
9,53,NXB Văn Nghệ,N/A,N/A,0,ACT,2015-11-02 14:16:02.0,1,2015-11-02 14:16:02.0,1,53,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:17.0
10,60,NXB Mũi Cà Mau Minh Hải,N/A,N/A,0,ACT,2015-11-02 14:17:29.0,1,2015-11-02 14:17:29.0,1,60,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:18.0
11,66,NXB Công An,N/A,N/A,0,ACT,2015-11-02 14:18:33.0,1,2015-11-02 14:18:33.0,1,66,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:18.0
12,76,NXB Thể Dục Thể thao,N/A,N/A,0,ACT,2015-11-02 14:22:33.0,1,2015-11-02 14:22:33.0,1,76,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:18.0
13,85,NXB Bưu Điện,N/A,N/A,0,ACT,2015-11-02 14:25:55.0,1,2015-11-02 14:25:55.0,1,85,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:18.0
14,95,Đang Cập Nhật,N/A,N/A,0,ACT,2015-11-02 14:39:13.0,1,2015-11-02 14:39:13.0,1,95,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:18.0
15,102,NXB Giao Thông Vận Tải,N/A,N/A,0,ACT,2015-11-21 08:57:33.0,1,2015-11-21 08:57:33.0,1,102,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
16,107,NXB Văn Hóa Dân Tộc,N/A,N/A,0,ACT,2016-03-23 17:33:30.0,114,2016-03-23 17:33:30.0,114,107,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
17,4,NXB Thời Đại,N/A,N/A,0,ACT,2015-09-17 10:50:54.0,1,2015-09-17 10:50:54.0,1,4,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:14.0
18,12,NXB Dân Trí,N/A,N/A,0,ACT,2015-09-17 16:57:06.0,1,2015-09-17 16:57:06.0,1,12,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:14.0
19,18,NXB Từ Điển Bách Khoa,N/A,N/A,0,ACT,2015-09-18 10:32:42.0,1,2015-09-18 10:32:42.0,1,18,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:15.0
20,24,NXB Thanh Niên,N/A,N/A,0,ACT,2015-09-19 09:55:24.0,1,2015-09-19 09:55:24.0,1,24,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:15.0
21,32,NXB Hội Nhà Văn,N/A,N/A,0,ACT,2015-09-24 10:32:31.0,1,2015-09-24 10:32:31.0,1,32,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:15.0
22,38,NXB Văn Hóa Thông Tin,N/A,N/A,0,ACT,2015-10-15 14:36:01.0,1,2015-10-15 14:36:01.0,1,38,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:15.0
