publishing_house_dim.publishing_house_key,publishing_house_dim.publishing_house_id,publishing_house_dim.publishing_house_name,publishing_house_dim.publishing_house_addr,publishing_house_dim.publishing_house_website,publishing_house_dim.ordering,publishing_house_dim.status,publishing_house_dim.created_time,publishing_house_dim.created_by,publishing_house_dim.updated_time,publishing_house_dim.updated_by,publishing_house_dim.cmc_id,publishing_house_dim.valid_from,publishing_house_dim.valid_to,publishing_house_dim.version,publishing_house_dim.current,publishing_house_dim.last_mofidied
298,631,Vân Hi_FLC_TLMĐV,N/A,N/A,0,ACT,2020-04-24 17:01:30.0,214,2020-05-04 11:40:52.0,214,631,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
299,634,Ruby_FLC,N/A,N/A,0,ACT,2020-04-29 15:34:25.0,214,2020-04-29 15:34:25.0,214,634,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
300,637,Sư ca hung mãnh hơn thú_ 动物不及师哥凶猛,N/A,N/A,0,ACT,2020-04-29 15:35:58.0,214,2020-04-29 15:35:58.0,214,637,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
301,639,Bích Hường_FLC,N/A,N/A,0,ACT,2020-04-29 15:51:36.0,214,2020-04-29 15:51:36.0,214,639,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
302,640,Y tâm liêu nhân_ 医心撩人,N/A,N/A,0,ACT,2020-04-29 15:52:40.0,214,2020-04-29 15:52:40.0,214,640,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
303,643,Mộ Khâu Tử_丘子坟,N/A,N/A,0,ACT,2020-05-01 21:58:05.0,214,2020-10-02 11:02:47.0,214,643,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
304,646,Tiểu Mễ_MKT_FLC,N/A,N/A,0,ACT,2020-05-01 21:58:55.0,214,2020-05-01 21:58:55.0,214,646,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
305,649,Thủy Linh_FLC_CCCĐT,N/A,N/A,0,ACT,2020-05-04 17:05:54.0,214,2020-05-04 17:05:54.0,214,649,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
306,651,Chân chó của đại thần_网游之御用小弟,N/A,N/A,0,ACT,2020-05-04 17:07:43.0,214,2020-05-04 17:07:43.0,214,651,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
307,655,Giường anh chia em một nửa_ 我的房分你一半,N/A,N/A,0,ACT,2020-05-05 18:31:56.0,214,2020-05-05 18:31:56.0,214,655,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
308,658,HMP_FLC,N/A,N/A,0,ACT,2020-05-06 10:32:06.0,214,2020-05-06 10:32:06.0,214,658,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
309,661,Tiểu Mễ_HTHS_FLC,N/A,N/A,0,ACT,2020-05-07 10:07:32.0,214,2020-05-07 10:07:32.0,214,661,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
310,663,Quỷ giấu người_鬼藏人,N/A,N/A,0,ACT,2020-05-07 18:13:29.0,214,2020-10-26 11:44:29.0,214,663,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
311,666,Tên anh là thời gian_他以时间为名 ,N/A,N/A,0,ACT,2020-05-08 08:58:08.0,214,2020-05-08 08:58:08.0,214,666,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
312,669,Thiên Trường Chi Cửu_听说陆之汣爱我很多年,N/A,N/A,0,ACT,2020-05-08 09:16:46.0,214,2020-05-08 09:16:46.0,214,669,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
313,670,Phi Yến_FLC,N/A,N/A,0,ACT,2020-05-08 09:17:28.0,214,2020-05-08 09:17:28.0,214,670,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
314,673,Trung tâm phát hành sách và văn hóa phẩm Khoa học và Kỹ thuật,N/A,N/A,0,ACT,2020-05-08 09:41:10.0,214,2020-05-08 09:41:10.0,214,673,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
315,675,10 vạn lý do phải bơm vàng_十万个氪金的理由,N/A,N/A,0,ACT,2020-05-11 21:44:28.0,214,2020-05-11 21:44:28.0,214,675,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
316,676,Tinh Tinh_FLC,N/A,N/A,0,ACT,2020-05-22 14:19:16.0,214,2020-05-22 14:19:16.0,214,676,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
317,679,Bích Hường_FLC_NHN,N/A,N/A,0,ACT,2020-05-25 16:29:23.0,214,2020-05-25 16:29:23.0,214,679,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
318,682,Thú Lạ Team_VLQ_FLC,N/A,N/A,0,ACT,2020-05-26 17:19:27.0,214,2020-05-26 17:20:17.0,214,682,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
319,684,Hoán đổi linh hồn_如果可以想重来一次,N/A,N/A,0,ACT,2020-05-28 15:55:30.0,214,2020-10-26 11:45:20.0,214,684,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
320,685,Bích Hường_FLC_QCPM,N/A,N/A,0,ACT,2020-06-01 10:40:43.0,214,2020-06-01 10:40:43.0,214,685,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
321,688,Quán Cà Phê Mèo_幸肥猫咪咖啡馆 ,N/A,N/A,0,ACT,2020-06-01 10:46:04.0,214,2020-06-01 10:46:04.0,214,688,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
322,690,Thú Lạ Team_TDM_FLC,N/A,N/A,0,ACT,2020-06-01 17:39:55.0,214,2020-06-01 17:39:55.0,214,690,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
323,691,Thầy dời mộ_迁坟师,N/A,N/A,0,ACT,2020-06-01 17:40:40.0,214,2020-06-01 17:40:40.0,214,691,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
324,694,Half_BTTGNCC_FLC,N/A,N/A,0,ACT,2020-06-02 13:54:28.0,214,2020-06-02 13:54:28.0,214,694,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
325,696,Bức thư tình gửi ngài Chuột Chũi_写给鼹鼠先生的情书,N/A,N/A,0,ACT,2020-06-03 18:31:14.0,214,2020-06-03 18:31:14.0,214,696,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
326,699,"Thủ tướng, mời xem đơn ly hôn_离婚启示录",N/A,N/A,0,ACT,2020-06-04 14:55:35.0,214,2020-06-04 14:59:36.0,214,699,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
327,702,NoLo_TTMXDLH_FLC,N/A,N/A,0,ACT,2020-06-04 14:59:09.0,214,2020-06-04 14:59:09.0,214,702,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
328,705,Bee Bếch_CTDT_FLC,N/A,N/A,0,ACT,2020-06-04 18:48:19.0,214,2020-06-04 18:48:19.0,214,705,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
329,708,Chiến thần Địch Thanh_战神狄青,N/A,N/A,0,ACT,2020-06-04 18:49:03.0,214,2020-06-04 18:49:03.0,214,708,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
330,709,Thanh quỷ kỷ sự_青詭紀事,N/A,N/A,0,ACT,2020-06-10 08:37:14.0,214,2020-06-10 08:37:14.0,214,709,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
331,711,YL_TQKS_FLC,N/A,N/A,0,ACT,2020-06-10 08:38:05.0,214,2020-06-10 08:38:05.0,214,711,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
332,714,Alpha Audiobook 2017,N/A,N/A,0,ACT,2020-06-10 10:43:27.0,214,2020-06-10 10:43:27.0,214,714,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
333,717,Whitenavy_DMPQ_FLC,N/A,N/A,0,ACT,2020-06-12 08:23:01.0,214,2020-06-12 08:34:03.0,214,717,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
334,718,Doanh môn phục quý_复贵盈门,N/A,N/A,0,ACT,2020-06-12 08:24:10.0,214,2020-06-12 08:24:10.0,214,718,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
335,721,Pháo hôi ư ư đại lão_炮灰她嫁了豪门大佬,N/A,N/A,0,ACT,2020-06-15 08:18:00.0,214,2020-06-15 08:18:00.0,214,721,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
336,724,lys_hoán đổi linh hồn_flc,N/A,N/A,0,ACT,2020-07-02 11:06:14.0,214,2020-07-02 11:06:14.0,214,724,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
337,726,Cô vợ siêu sao_顾少的影后娇妻,N/A,N/A,0,ACT,2020-07-02 13:48:56.0,214,2020-07-13 14:41:34.0,214,726,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
338,729,Yêu tinh quán_妖精食堂的秘密,N/A,N/A,0,ACT,2020-07-02 13:52:27.0,214,2020-08-21 16:51:17.0,214,729,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
339,730,Thú Lạ Team_Yêu tinh quán_FLC,N/A,N/A,0,ACT,2020-07-02 13:53:18.0,214,2020-07-02 13:53:18.0,214,730,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
340,732,Vương Hằng_Cô vợ siêu sao_FLC,N/A,N/A,0,ACT,2020-07-02 13:53:55.0,214,2020-07-02 13:53:55.0,214,732,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
341,735,Nhan Húc Quân,N/A,N/A,0,ACT,2020-07-13 17:27:34.0,214,2020-07-13 17:27:34.0,214,735,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
342,738,VegaMedia_Hành tẩu ÂD_Audio_TB_052020,N/A,N/A,0,ACT,2020-07-23 15:59:27.0,214,2020-07-23 15:59:27.0,214,738,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
343,739,VegaMedia_Hoàng Hà PYT_Audio_TB_062020,N/A,N/A,0,ACT,2020-07-23 15:59:55.0,214,2020-07-23 15:59:55.0,214,739,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
344,741,VegaMedia_Mộ Khâu Tử_Audio_TB_062020,N/A,N/A,0,ACT,2020-07-23 16:00:06.0,214,2020-07-23 16:00:06.0,214,741,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
