translator_dim.translator_key,translator_dim.translator_id,translator_dim.translator_name,translator_dim.translator_addr,translator_dim.mobile,translator_dim.phone,translator_dim.ordering,translator_dim.status,translator_dim.created_time,translator_dim.created_by,translator_dim.updated_time,translator_dim.updated_by,translator_dim.cmc_id,translator_dim.valid_from,translator_dim.valid_to,translator_dim.version,translator_dim.current,translator_dim.last_mofidied
127,109,Hồng Lê,N/A,N/A,N/A,0,ACT,2015-11-19 15:19:34.0,1,2015-11-19 15:19:34.0,1,109,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
128,124,Tuệ Văn,N/A,N/A,N/A,0,ACT,2015-11-19 17:26:58.0,1,2015-11-19 17:26:58.0,1,124,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
129,135,Tiểu Triệu,N/A,N/A,N/A,0,ACT,2015-11-21 09:48:22.0,1,2015-11-21 09:48:22.0,1,135,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
130,144,Nguyễn Lê Hương,N/A,N/A,N/A,0,ACT,2015-11-21 09:55:39.0,1,2015-11-21 09:55:39.0,1,144,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
131,159,Nguyễn Đức Vịnh,N/A,N/A,N/A,0,ACT,2015-11-25 08:29:15.0,1,2015-11-25 08:29:15.0,1,159,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
132,167,Cénacle A,N/A,N/A,N/A,0,ACT,2015-11-26 14:57:44.0,1,2015-11-26 14:57:44.0,1,167,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
133,173,Phạm Minh Tuấn,N/A,N/A,N/A,0,ACT,2015-11-27 09:44:23.0,1,2015-11-27 09:44:23.0,1,173,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
134,177,Hoàng Phương Anh,N/A,N/A,N/A,0,ACT,2015-11-27 14:29:15.0,1,2015-11-27 14:29:15.0,1,177,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:22.0
135,185,Moguka Nguyễn,N/A,N/A,N/A,0,ACT,2015-11-28 08:24:00.0,1,2015-11-28 08:24:00.0,1,185,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:23.0
136,192,Diệp Tử,N/A,N/A,N/A,0,ACT,2015-11-28 08:43:33.0,1,2015-11-28 08:43:33.0,1,192,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:23.0
