user_id,event,account_id,content_id
7870951,read,31445631,42482
7919695,read,37829161,12007
3368631,login,20812810,""
7875297,reading,37695569,165179
7919695,read,37829161,12007
7919695,read,37829161,12007
3055693,reading,19441328,38621
7887780,reading,37742033,30855
2473661,reading,14914770,43517
3053571,reading,19435491,37193
7870951,read,31445631,42482
7919695,read,37829161,12007
5633165,reading,28211512,38621
7803494,reading,37466165,16287
7870951,read,31445631,42470
7994027,reading,38053889,34775
7872996,reading,37685648,37715
7919695,read,37829161,12007
