user_id,event,account_id,content_id
7919695,read,37829161,12007
4121137,reading,24467496,43685
7919695,read,37829161,12007
7782409,reading,37381237,42371
4451804,reading,25339788,34691
7919695,read,37829161,12007
3202133,reading,19974233,43715
8011508,reading,38093428,26277
3321176,reading,20623756,18970
7919695,read,37829161,12007
2108889,reading,12275791,40244
3059744,reading,19453190,32214
7875491,reading,37697001,37715
7919695,read,37829161,12007
4039042,reading,24201849,31690
7869785,reading,37674906,16481
