user_id,event,account_id,content_id
7919695,read,37829161,12007
7872996,reading,37685648,37715
7323795,reading,35672817,40682
8014659,read,38100299,41849
6149279,reading,29945520,26767
8014659,read,38100299,41849
7991424,reading,38047348,34448
7919695,read,37829161,12007
5428395,reading,27705756,35198
8014659,read,38100299,41849
6239168,reading,30169410,37772
7931792,read,37873483,35021
8006268,reading,38080324,35894
2589748,reading,16058865,33674
8014659,read,38100299,41849
7391914,reading,36086587,17740
