user_id,event,account_id,content_id
7967826,reading,37991692,36857
3145809,reading,19795541,31339
7652867,reading,37068324,36845
7919695,read,37829161,12007
7921505,reading,37840261,33752
8014451,reading,38099457,32526
7538593,reading,18415704,30349
7868814,reading,37672230,25372
4032701,reading,20505630,43247
7919695,read,37829161,12007
7942359,reading,37907807,38540
2481061,reading,14997631,36209
3924625,reading,23837435,36935
7919715,read,37829173,32260
7668931,reading,37104744,20790
7919695,read,37829161,12007
